time,rpm,tps,water,a/f
05:51.1,5982,20,85,17.0905
05:51.2,5992,23,85,17.02175
05:51.3,5886,23,85,15.842
05:51.4,5767,23,85,16.4855
05:51.5,5730,20,85,17.34625
05:51.6,5644,20,85,17.0905
05:51.7,5509,25,85,16.7825
05:51.8,6606,38,85,16.9695
05:51.9,7075,38,85,14.52475
05:52.0,7440,38,85,12.12125
05:52.1,7527,38,85,12.94075
05:52.2,7709,38,85,17.0355
05:52.3,8074,39,85,17.2775
05:52.4,8173,39,85,17.7615
05:52.5,8123,16,85,16.513
05:52.6,7509,13,85,18.05575
05:52.7,7628,25,85,19.53525
05:52.8,7393,21,85,20.91575
05:52.9,7022,24,85,16.19125
05:53.0,7019,30,85,14.04075
05:53.1,7222,33,85,15.73475
05:53.2,7270,25,85,16.62025
05:53.3,7088,22,85,15.34425
05:53.4,6949,21,85,16.10875
05:53.5,6732,20,85,15.1435
05:53.6,6512,19,85,13.45225
05:53.7,6648,42,85,14.94275
05:53.8,7747,49,85,15.4515
05:53.9,7364,26,85,17.2775
05:54.0,7247,30,85,15.67975
05:54.1,7934,32,85,13.103
05:54.2,6595,24,85,14.511
05:54.3,6701,38,86,16.205
05:54.4,7275,38,86,15.98775
05:54.5,7591,39,86,16.83475
05:54.6,8445,10,86,20.90475
05:54.7,7697,11,86,19.53525
05:54.8,7301,11,86,20.9295
05:54.9,6694,12,86,19.57375
05:55.0,6469,13,86,20.94325
05:55.1,6133,16,86,20.3795
05:55.2,5899,16,86,17.62675
05:55.3,5772,16,86,19.14475
05:55.4,5341,16,86,17.0355
05:55.5,5615,31,86,18.394
05:55.6,5826,32,86,17.59925
05:55.7,6081,32,86,14.70075
05:55.8,6375,32,86,16.392
05:55.9,6366,32,86,15.07475
05:56.0,6803,32,86,15.07475
05:56.1,6810,32,86,16.513
05:56.2,6870,32,86,16.19125
05:56.3,7088,32,86,14.72825
05:56.4,7290,30,86,16.084
05:56.5,7253,26,86,13.9335
05:56.6,7376,35,86,14.70075
05:56.7,7640,41,86,15.8145
05:56.8,8241,40,86,17.62675
05:56.9,8184,36,86,17.47825
05:57.0,8166,40,87,18.35275
05:57.1,8155,35,87,19.3455
05:57.2,8230,35,87,18.5535
05:57.3,8116,35,87,18.46
05:57.4,7621,12,87,20.8635
05:57.5,7446,14,87,19.56
05:57.6,7217,22,87,20.7975
05:57.7,7341,34,87,20.8635
05:57.8,6708,18,87,16.579
05:57.9,7164,36,87,18.9165
05:58.0,7494,26,87,13.5595
05:58.1,7662,36,87,14.929
05:58.2,6952,9,87,20.8085
05:58.3,6725,10,87,20.891
05:58.4,6452,14,87,19.50775
05:58.5,6449,17,87,20.82225
05:58.6,6173,17,87,20.9295
05:58.7,6115,23,87,17.305
05:58.8,5978,24,87,15.7485
05:58.9,6143,25,87,18.16575
05:59.0,6508,42,87,16.21875
05:59.1,7706,43,87,14.86025
05:59.2,8159,43,87,14.1755
05:59.3,8359,43,87,14.94275
05:59.4,8116,7,88,20.84975
05:59.5,7512,7,88,20.8635
05:59.6,6998,7,88,19.54625
05:59.7,6718,7,88,20.87725
05:59.8,6492,8,88,20.5005
05:59.9,6192,9,88,19.7635
06:00.0,5965,10,88,20.891
06:00.1,5706,13,88,19.69475
06:00.2,5674,19,88,19.84325
06:00.3,5383,19,88,20.97075
06:00.4,5361,21,88,19.57375
06:00.5,5469,22,88,20.352
06:00.6,5246,22,88,18.7955
06:00.7,5516,25,88,15.237
06:00.8,6377,40,88,16.43325
06:00.9,7051,40,88,16.0565
06:01.0,7938,40,88,16.22975
06:01.1,7203,12,88,20.84975
06:01.2,6627,12,88,20.90475
06:01.3,6155,13,88,20.836
06:01.4,6091,21,88,19.615
06:01.5,6097,21,88,17.72025
06:01.6,5688,13,88,17.0355
06:01.7,5275,9,88,15.67975
06:01.8,5265,19,88,20.9845
06:01.9,5480,26,89,13.84
06:02.0,5573,27,89,15.15725
06:02.1,5982,25,89,14.269
06:02.2,5927,19,89,15.8695
06:02.3,6828,38,89,16.56525
06:02.4,7488,37,89,12.1625
06:02.5,8660,10,89,20.11275
06:02.6,7921,16,89,19.72225
06:02.7,6918,22,89,18.95775
06:02.8,6991,41,89,15.0885
06:02.9,6701,7,89,13.653
06:03.0,6944,10,89,20.87725
06:03.1,6800,10,89,20.94325
06:03.2,6524,10,89,19.57375
06:03.3,6214,10,89,20.9845
06:03.4,5984,12,89,20.99825
06:03.5,5961,23,89,19.615
06:03.6,5901,30,89,20.91575
06:03.7,6325,30,89,17.72025
06:03.8,6194,30,89,15.842
06:03.9,6375,30,89,17.43975
06:04.0,6315,30,89,16.084
06:04.1,6190,18,89,16.10875
06:04.2,5916,17,89,16.3645
06:04.3,6192,16,89,17.36
06:04.4,6081,17,89,16.755
06:04.5,6034,17,89,16.6615
06:04.6,5901,22,89,15.52025
06:04.7,6165,46,89,17.239
06:04.8,7767,30,89,12.66025
06:04.9,7315,29,89,13.70525
06:05.0,7211,23,89,16.876
06:05.1,6639,13,89,14.91525
06:05.2,6639,17,89,16.9145
06:05.3,6613,21,89,14.48625
06:05.4,6625,29,89,16.029
06:05.5,6627,33,89,16.56525
06:05.6,7461,37,89,16.1775
06:05.7,6381,10,89,18.29775
06:05.8,6759,18,89,19.802
06:05.9,6691,15,89,19.186
06:06.0,6200,21,89,14.15075
06:06.1,7681,60,89,16.4855
06:06.2,8281,31,89,13.58425
06:06.3,7327,21,89,13.21025
06:06.4,7099,21,89,18.1245
06:06.5,7259,32,89,15.25075
06:06.6,7563,31,89,17.59925
06:06.7,6722,7,90,16.62025
06:06.8,6438,7,90,18.823
06:06.9,6083,7,90,19.57375
06:07.0,5503,39,90,19.6425
06:07.1,6283,40,90,20.891
06:07.2,6656,40,90,14.24425
06:07.3,7113,39,90,14.082
06:07.4,7646,38,90,15.49275
06:07.5,8026,39,90,16.942
06:07.6,8238,39,90,17.53325
06:07.7,9360,33,90,15.424
06:07.8,8773,45,90,20.15125
06:07.9,8806,37,90,17.77525
06:08.0,8920,39,90,17.8165
06:08.1,9027,8,90,20.8085
06:08.2,8716,8,90,19.4665
06:08.3,7931,9,90,20.286
06:08.4,6611,42,90,19.81575
06:08.5,7145,11,90,13.048
06:08.6,7270,15,90,20.87725
06:08.7,7208,14,90,19.615
06:08.8,6934,8,90,20.77
06:08.9,6262,15,90,20.87725
06:09.0,6823,37,90,17.84125
06:09.1,7625,37,90,15.6275
06:09.2,7452,8,90,16.4855
06:09.3,6576,6,90,15.58625
06:09.4,6296,7,90,19.56
06:09.5,6042,23,90,20.8635
06:09.6,6959,31,90,12.927
06:09.7,6868,31,90,12.41825
06:09.8,6911,31,90,14.45875
06:09.9,6835,24,90,15.46525
06:10.0,6773,23,90,15.3855
06:10.1,6677,23,90,13.8125
06:10.2,6853,43,90,15.237
06:10.3,7440,43,90,14.06825
